key,som_key,lon,lat
B49H0025001,705,97288.0,387269.0
B49F0557002,204,94072.0,399943.0
2159_PBF1001,624,127745.0,411376.0
CORK013001,1374,187613.0,389260.0
2075001,212,126527.754,411458.901
5227001,215,112658.0,404158.0
B26H0292002,2895,176300.0,475590.0
B33E1252001,423,207130.0,464849.0
B40C0414001,423,184710.0,435500.0
B34B1242001,1727,233259.04,474908.47
B26F0055001,728,178089.0,492402.0
B11B0156001,94,197550.0,563900.0
REESTDAL-PB1001,866,225440.0,516034.0
B28A0445001,923,225337.08,495970.77
B34B0214001,112,235804.3,472067.42
PEVE072001,1314,188628.0,379696.0
B15E0204001,209,162720.0,547175.0
B45D0230001,347,157780.0,408630.0
NIJVLPB20001,158,208904.0,525687.0
B34C1041001,115,220449.0544,453477.5785
B45D0124003,1461,153170.0,407082.0
B39H0381002,843,176130.0,435580.0
B33G1148001,172,201868.0,460601.0
B32D0217001,165,158784.0,462459.0
B45H0034003,471,170070.0,400029.0
B21G0012001,42,204128.0,511133.0
B21H0351001,102,210983.56,502941.36
PEVE049001,1316,191133.0,380095.0
22AP7620001,808,226030.0,515623.0
B28B0154001,998,238081.71,493397.05
B43H0257001,72,98160.0,402471.0
B41B0472001,179,235102.0,440913.0
B32F0061001,354,175800.0,462700.0
B46D1492001,902,197498.0,404735.0
B21E0015001,157,208707.0,520651.0
B15E0210001,95,163100.0,546125.0
B27B0283001,1821,195235.9334,497758.194
B57B0152001,2684,154853.0,374475.0
5010_PBF001,1517,110401.0,404625.0
B28B0149001,646,234338.82,490662.2
B58A0691001,1675,186725.0,373627.0
B34D0080001,771,238352.17,457862.28
B52C0592002,1859,189950.0,375870.0
2145_PBF001,152,128032.0,411457.0
2073_PBF001,152,125768.0,411305.0
B33A0106001,2831,182936.16,474531.6
B28E1199001,1000,242145.0,495726.0
EA_AR_B07001,1996,263514.0,529465.0
2134_PBF001,788,125551.0,411259.0
5006_PBF1001,557,109246.0,404098.0
B39E0245001,523,168272.48,443397.68
B33D0220001,2106,197335.0,460720.0
B16F2043001,870,213370.0,546297.0
B45C0390001,1149,140201.0,402097.0
B39E0400001,2353,161050.0,445250.0
B50H0083001,2989,135327.0,384786.0
B39E0117001,2946,161494.347,447220.849
2155_PBF001,1639,128388.0,411151.0
PEVE049_2001,1316,191133.0,380095.0
B32C0364002,2949,149404.0,460085.0
B29C0147001,2994,261614.38,476187.33
B12E1527001,863,240683.0,563307.0
B12D0379001,809,239370.0,562085.0
B32D0138001,2950,151856.0,455323.0
B58A0366002,1675,185534.0,374076.0
B41B0280001,2089,235581.0,446201.0
B27E0335001,185,200410.0,487750.0
B52D0669001,2691,191395.0,379005.0
B11B0155001,33,197825.0,564400.0
5187_PBF001,858,115212.0,394265.0
B34B1258001,881,234164.98,469880.83
B32D1371002,522,159832.0,450234.0
B12E1530001,1636,240721.0,563510.0
B46D1501001,241,196074.0,405105.0
B51C0282002,715,140153.0,377457.0
B33A0103001,2648,183390.0,472340.0
BULT002001,2569,186227.0,389660.0
B15F0221001,91,174240.0,547760.0
28CP7806001,1349,222159.0,483334.0
B46A0254001,2833,188080.0,424020.0
B27G0098001,2003,209024.89,476920.38
B52D0670001,2691,190995.0,378810.0
B26F0092001,1324,178425.2,492643.0
B26F0192002,1326,178688.3,492293.5
2019_PBF001,212,125142.0,411086.0
B52E1856001,1937,201340.0,398780.0
B34D0265001,712,239480.0,458280.0
BULT005001,1977,187028.0,390098.0
B34D1245001,1993,234536.0,458250.0
BULT004001,1616,187526.0,389898.0
VLIJ002001,555,140988.0,410353.0
5029_PBF1001,1755,114783.0,391892.0
B46A1646001,121,182120.0,421227.0
PEVE073001,1374,188948.0,378983.0
B21G0300002,614,209654.4,506162.84
B33B0329001,1400,198940.0,465730.0
PEVE074001,1737,189474.0,379066.0
B21C0816001,210,189333.49,500270.88
POELSBEEKPB4001,1006,240563.0,465834.6
B32G1159002,166,160203.0,455458.0
B12G1539001,927,240757.0,560531.0
